Bairro;Ocorrencia
ARSENAL;Crimes contra a Mulher
COLUBANDE;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
MARIA PAULA;Violencia Domestica
ARSENAL;Trafico Ilicito de Drogas
COLUBANDE;Crimes contra a Mulher
NEVES;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
SALGUEIRO;Violencia Domestica
MARIA PAULA;Trafico Ilicito de Drogas
TRINDADE;Violencia Domestica
CENTRO;Trafico Ilicito de Drogas
TRINDADE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
CENTRO;Acidente de  Transito com Vitima
ARSENAL;Acidente de  Transito com Vitima
NEVES;Trafico Ilicito de Drogas
TRINDADE;Acidente de  Transito com Vitima
NEVES;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
TRINDADE;Acidente de  Transito com Vitima
MARIA PAULA;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
COLUBANDE;Trafico Ilicito de Drogas
ALCANTARA;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
ARSENAL;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
MARIA PAULA;Violencia Domestica
ARSENAL;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
ARSENAL;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
SALGUEIRO;Acidente de  Transito com Vitima
TRINDADE;Acidente de  Transito com Vitima
TRINDADE;Trafico Ilicito de Drogas
CENTRO;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
NEVES;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
BARRO VERMELHO;Violencia Domestica
NEVES;Crimes contra a Mulher
NEVES;Crimes contra a Mulher
CENTRO;Acidente de  Transito com Vitima
CENTRO;Violencia Domestica
ALCANTARA;Acidente de  Transito com Vitima
TRINDADE;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
CENTRO;Acidente de  Transito com Vitima
TRINDADE;Trafico Ilicito de Drogas
TRINDADE;Trafico Ilicito de Drogas
BARRO VERMELHO;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
NEVES;Crimes contra a Mulher
ARSENAL;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
CENTRO;Acidente de  Transito com Vitima
ALCANTARA;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
NEVES;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
NEVES;Acidente de  Transito com Vitima
ALCANTARA;Crimes contra a Mulher
NEVES;Acidente de  Transito com Vitima
ALCANTARA;Acidente de  Transito com Vitima
BARRO VERMELHO;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
BARRO VERMELHO;Acidente de  Transito com Vitima
CENTRO;Crimes contra a Mulher
NEVES;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
CENTRO;Crimes contra a Mulher
CENTRO;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
ALCANTARA;Acidente de  Transito com Vitima
TRINDADE;Crimes contra a Mulher
NEVES;Trafico Ilicito de Drogas
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
COLUBANDE;Acidente de  Transito com Vitima
ALCANTARA;Acidente de  Transito com Vitima
ALCANTARA;Acidente de  Transito com Vitima
TRINDADE;Violencia Domestica
TRINDADE;Crimes contra a Mulher
COLUBANDE;Trafico Ilicito de Drogas
ALCANTARA;Crimes contra a Mulher
BARRO VERMELHO;Crimes contra a Mulher
NEVES;Acidente de  Transito com Vitima
SALGUEIRO;Crimes contra a Mulher
CENTRO;Crimes contra a Mulher
MARIA PAULA;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
CENTRO;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
NEVES;Violencia Domestica
TRINDADE;Violencia Domestica
COLUBANDE;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Violencia Domestica
TRINDADE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Acidente de  Transito com Vitima
TRINDADE;Trafico Ilicito de Drogas
ARSENAL;Trafico Ilicito de Drogas
CENTRO;Crimes contra a Mulher
COLUBANDE;Acidente de  Transito com Vitima
NEVES;Crimes contra a Mulher
SALGUEIRO;Crimes contra a Mulher
SALGUEIRO;Crimes contra a Mulher
NEVES;Acidente de  Transito com Vitima
MARIA PAULA;Crimes contra a Mulher
ALCANTARA;Trafico Ilicito de Drogas
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
TRINDADE;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
MARIA PAULA;Crimes contra a Mulher
MARIA PAULA;Trafico Ilicito de Drogas
BARRO VERMELHO;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
TRINDADE;Trafico Ilicito de Drogas
ARSENAL;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
NEVES;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
BARRO VERMELHO;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
ARSENAL;Crimes contra a Mulher
TRINDADE;Violencia Domestica
COLUBANDE;Crimes contra a Mulher
MARIA PAULA;Crimes contra a Mulher
CENTRO;Violencia Domestica
TRINDADE;Crimes contra a Mulher
ALCANTARA;Acidente de  Transito com Vitima
COLUBANDE;Trafico Ilicito de Drogas
ALCANTARA;Acidente de  Transito com Vitima
COLUBANDE;Violencia Domestica
ALCANTARA;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
ARSENAL;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
TRINDADE;Trafico Ilicito de Drogas
COLUBANDE;Acidente de  Transito com Vitima
NEVES;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
TRINDADE;Violencia Domestica
BARRO VERMELHO;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
TRINDADE;Violencia Domestica
MARIA PAULA;Crimes contra a Mulher
TRINDADE;Trafico Ilicito de Drogas
MARIA PAULA;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
COLUBANDE;Acidente de  Transito com Vitima
COLUBANDE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
ARSENAL;Crimes contra a Mulher
BARRO VERMELHO;Acidente de  Transito com Vitima
CENTRO;Acidente de  Transito com Vitima
TRINDADE;Crimes contra a Mulher
BARRO VERMELHO;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
COLUBANDE;Crimes contra a Mulher
CENTRO;Acidente de  Transito com Vitima
ALCANTARA;Crimes contra a Mulher
COLUBANDE;Acidente de  Transito com Vitima
ALCANTARA;Crimes contra a Mulher
ALCANTARA;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
TRINDADE;Crimes contra a Mulher
